customerid,gender,age,under30,seniorcitizen,married,dependents,numberofdependents,country,state,city,zipcode,latitude,longitude,population,quarter,referredafriend,numberofreferrals,offer,phoneservice,avgmonthlylongdistancecharges,multiplelines,internetservice,internettype,avgmonthlygbdownload,onlinesecurity,onlinebackup,deviceprotectionplan,premiumtechsupport,streamingtv,streamingmovies,streamingmusic,unlimiteddata,contract,paperlessbilling,paymentmethod,monthlycharge,satisfactionscore,customerstatus,churnlabel,churnscore,cltv,churncategory,churnreason,ingestiondate,customer_joined_date
1666-JZPZT,Male,61,No,No,No,No,0,United States,California,Twin Bridges,95735,38.805481,-120.13287,25,Q3,No,0,,Yes,2.69,Yes,Yes,Cable,15,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,49.0,3,Stayed,No,51,5428,,,2025-03-13,2022-12-13 00:00:00
5777-KJIRB,Female,61,No,No,No,No,0,United States,California,Weimar,95736,39.00978,-120.978273,31,Q3,No,0,,Yes,23.28,No,Yes,Cable,6,No,No,Yes,No,No,No,No,Yes,One Year,Yes,Credit Card,50.25,5,Stayed,No,25,2449,,,2025-03-13,2021-11-13 00:00:00
7677-SJJJK,Male,26,Yes,No,Yes,No,0,United States,California,Granite Bay,95746,38.749466,-121.184196,20675,Q3,Yes,5,Offer E,Yes,48.39,No,No,,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.9,5,Stayed,No,29,3152,,,2025-03-13,2024-07-13 00:00:00
3253-HKOKL,Female,31,No,No,Yes,Yes,2,United States,California,Elk Grove,95758,38.35363,-121.44195,47065,Q3,Yes,7,,Yes,7.99,No,Yes,Fiber Optic,19,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,100.3,3,Stayed,No,29,4811,,,2025-03-13,2020-11-13 00:00:00
7055-HNEOJ,Male,34,No,No,Yes,No,0,United States,California,El Dorado Hills,95762,38.684437,-121.055634,22028,Q3,Yes,2,Offer E,Yes,4.19,No,Yes,Cable,6,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,55.8,4,Joined,No,48,2662,,,2025-03-13,2024-12-13 00:00:00
5514-YQENT,Male,29,Yes,No,No,Yes,3,United States,California,Rocklin,95765,38.823278,-121.281856,15494,Q3,No,0,,Yes,30.58,No,Yes,Fiber Optic,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,111.15,5,Stayed,No,32,5038,,,2025-03-13,2021-10-13 00:00:00
3211-AAPKX,Male,26,Yes,No,No,No,0,United States,California,Woodland,95776,38.694081,-121.694431,15022,Q3,No,0,,Yes,23.22,Yes,Yes,Fiber Optic,59,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,98.55,3,Stayed,No,42,3300,,,2025-03-13,2023-07-13 00:00:00
8445-DNBAE,Male,24,Yes,No,No,Yes,3,United States,California,Sacramento,95814,38.584505,-121.491956,16599,Q3,No,0,Offer E,Yes,43.05,Yes,Yes,DSL,69,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.05,4,Joined,No,61,5523,,,2025-03-13,2025-02-13 00:00:00
2958-NHPPS,Male,45,No,No,No,No,0,United States,California,Sacramento,95816,38.574856,-121.46504,16164,Q3,No,0,,Yes,35.32,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.85,5,Stayed,No,53,4263,,,2025-03-13,2023-04-13 00:00:00
1735-XMJVH,Male,51,No,No,Yes,Yes,3,United States,California,Sacramento,95818,38.556306,-121.495817,21313,Q3,No,0,Offer E,Yes,34.87,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,19.35,3,Stayed,No,58,5416,,,2025-03-13,2024-07-13 00:00:00
6890-PFRQX,Male,56,No,No,No,No,0,United States,California,Sacramento,95819,38.567594,-121.437507,15975,Q3,No,0,,Yes,12.21,Yes,Yes,DSL,8,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Mailed Check,69.5,3,Stayed,No,24,4466,,,2025-03-13,2023-09-13 00:00:00
5899-OUVKV,Male,56,No,No,No,No,0,United States,California,Sacramento,95821,38.625096,-121.383658,35426,Q3,No,0,,Yes,45.92,No,Yes,Fiber Optic,18,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3,Stayed,No,42,3949,,,2025-03-13,2022-08-13 00:00:00
8681-ICONS,Male,20,Yes,No,Yes,Yes,1,United States,California,Sacramento,95822,38.512569,-121.495184,44683,Q3,Yes,5,,Yes,24.64,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,20.65,3,Stayed,No,72,4667,,,2025-03-13,2022-10-13 00:00:00
1621-YNCJH,Female,54,No,No,Yes,No,0,United States,California,Sacramento,95823,38.475465,-121.443625,72199,Q3,Yes,4,,Yes,19.24,Yes,Yes,Fiber Optic,18,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Two Year,Yes,Credit Card,106.05,3,Stayed,No,25,4505,,,2025-03-13,2022-03-13 00:00:00
6362-QHAFM,Male,53,No,No,Yes,No,0,United States,California,Sacramento,95825,38.590035,-121.412455,30715,Q3,Yes,1,,Yes,42.45,Yes,Yes,Fiber Optic,11,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,108.3,3,Stayed,No,63,5106,,,2025-03-13,2021-09-13 00:00:00
3070-BDOQC,Female,38,No,No,No,No,0,United States,California,Sacramento,95827,38.549185,-121.328386,19611,Q3,No,0,,Yes,16.81,No,Yes,Fiber Optic,21,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,99.65,4,Stayed,No,41,4616,,,2025-03-13,2020-03-13 00:00:00
6234-PFPXL,Male,42,No,No,Yes,No,0,United States,California,Sacramento,95829,38.486502,-121.334051,11396,Q3,Yes,6,,Yes,35.62,Yes,Yes,Fiber Optic,29,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Credit Card,95.9,3,Stayed,No,56,3207,,,2025-03-13,2023-05-13 00:00:00
9824-QCJPK,Male,47,No,No,Yes,No,0,United States,California,Sacramento,95830,38.490508,-121.284171,592,Q3,Yes,7,,Yes,21.77,No,No,,0,No,No,No,No,No,No,No,No,One Year,No,Mailed Check,20.0,3,Stayed,No,60,4175,,,2025-03-13,2022-03-13 00:00:00
4283-IVYCI,Male,40,No,No,No,No,0,United States,California,Sacramento,95832,38.445939,-121.496855,9063,Q3,No,0,Offer E,Yes,27.53,No,Yes,Cable,11,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,64.95,3,Stayed,No,66,3013,,,2025-03-13,2024-06-13 00:00:00
1866-OBPNR,Male,28,Yes,No,Yes,Yes,1,United States,California,Sacramento,95833,38.619049,-121.517552,31422,Q3,Yes,5,,Yes,42.99,No,Yes,Fiber Optic,59,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,74.6,5,Joined,No,22,5494,,,2025-03-13,2025-02-13 00:00:00
8205-MQUGY,Male,39,No,No,Yes,Yes,3,United States,California,Sacramento,95834,38.646209,-121.52446,8403,Q3,Yes,8,Offer D,Yes,9.58,No,Yes,Cable,57,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,49.2,3,Stayed,No,37,3582,,,2025-03-13,2024-03-13 00:00:00
8970-ANWXO,Female,37,No,No,No,No,0,United States,California,Sacramento,95835,38.685069,-121.543709,854,Q3,No,0,Offer D,Yes,35.03,Yes,Yes,DSL,3,No,No,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,73.75,3,Stayed,No,28,3483,,,2025-03-13,2023-04-13 00:00:00
9480-BQJEI,Male,35,No,No,No,No,0,United States,California,Sacramento,95837,38.691607,-121.602284,264,Q3,No,0,,Yes,24.35,Yes,Yes,Fiber Optic,16,Yes,Yes,No,No,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,92.3,4,Stayed,No,58,6468,,,2025-03-13,2020-01-13 00:00:00
6979-TNDEU,Female,42,No,No,No,No,0,United States,California,Sacramento,95841,38.660442,-121.346321,20993,Q3,No,0,,Yes,14.32,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.2,3,Stayed,No,42,2879,,,2025-03-13,2024-07-13 00:00:00
9777-WJJPR,Male,46,No,No,Yes,No,0,United States,California,Sacramento,95842,38.687367,-121.34848,31373,Q3,Yes,9,,Yes,29.77,Yes,Yes,Fiber Optic,12,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Credit Card,88.65,4,Stayed,No,48,4821,,,2025-03-13,2022-08-13 00:00:00
9495-SKLKD,Male,54,No,No,Yes,Yes,2,United States,California,Marysville,95901,39.19514,-121.503883,38091,Q3,Yes,1,,Yes,22.31,Yes,Yes,Fiber Optic,19,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.95,5,Stayed,No,63,5322,,,2025-03-13,2021-06-13 00:00:00
5067-DGXLL,Male,35,No,No,No,No,0,United States,California,Alleghany,95910,39.467828,-120.841386,118,Q3,No,0,,Yes,15.83,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.25,4,Joined,No,59,5736,,,2025-03-13,2025-01-13 00:00:00
6281-FKEWS,Female,58,No,No,No,No,0,United States,California,Berry Creek,95916,39.657228,-121.37778,1279,Q3,No,0,,No,0.0,No,Yes,Cable,3,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,49.05,5,Stayed,No,68,3910,,,2025-03-13,2021-07-13 00:00:00
8898-KASCD,Male,41,No,No,No,No,0,United States,California,Biggs,95917,39.457388,-121.818201,3169,Q3,No,0,,No,0.0,No,Yes,DSL,14,No,No,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card,35.55,3,Stayed,No,76,3752,,,2025-03-13,2021-12-13 00:00:00
9242-TKFSV,Male,53,No,No,Yes,No,0,United States,California,Browns Valley,95918,39.292334,-121.320597,1477,Q3,Yes,7,Offer A,No,0.0,No,Yes,DSL,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,65.1,4,Stayed,No,30,4969,,,2025-03-13,2019-03-13 00:00:00
0743-HNPFG,Female,50,No,No,Yes,No,0,United States,California,Butte City,95920,39.449794,-121.936372,303,Q3,Yes,2,,Yes,17.95,No,Yes,DSL,14,Yes,Yes,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,69.75,3,Stayed,No,50,5628,,,2025-03-13,2020-12-13 00:00:00
5035-PGZXH,Female,49,No,No,No,No,0,United States,California,Chico,95926,39.745712,-121.84333,35808,Q3,No,0,,Yes,32.43,Yes,Yes,Fiber Optic,2,No,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,106.8,3,Stayed,No,49,6161,,,2025-03-13,2020-07-13 00:00:00
8695-WDYEA,Male,32,No,No,No,No,0,United States,California,Chico,95928,39.681488,-121.83721,32848,Q3,No,0,,Yes,39.3,No,Yes,DSL,26,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,51.25,4,Joined,No,57,4483,,,2025-03-13,2025-02-13 00:00:00
6543-JXSOO,Female,30,No,No,Yes,No,0,United States,California,Clipper Mills,95930,39.562239,-121.14836,282,Q3,Yes,5,Offer D,Yes,12.88,No,Yes,DSL,41,Yes,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,57.75,3,Stayed,No,22,3794,,,2025-03-13,2023-04-13 00:00:00
8605-ITULD,Female,21,Yes,No,No,No,0,United States,California,Crescent Mills,95934,40.080342,-120.957805,178,Q3,No,0,,Yes,5.1,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.55,3,Joined,No,31,5750,,,2025-03-13,2025-02-13 00:00:00
6416-YJTTB,Male,20,Yes,No,No,No,0,United States,California,Downieville,95936,39.578792,-120.780786,404,Q3,No,0,Offer D,Yes,8.48,No,Yes,Fiber Optic,52,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.5,4,Stayed,No,57,2278,,,2025-03-13,2024-04-13 00:00:00
4472-VESGY,Female,41,No,No,Yes,Yes,1,United States,California,Durham,95938,39.607831,-121.777959,3524,Q3,Yes,6,,Yes,31.09,Yes,Yes,Fiber Optic,28,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,98.15,4,Stayed,No,48,5123,,,2025-03-13,2020-11-13 00:00:00
3195-TQDZX,Male,19,Yes,No,No,No,0,United States,California,Elk Creek,95939,39.53222,-122.594879,587,Q3,No,0,,Yes,1.57,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.25,5,Joined,No,42,4050,,,2025-03-13,2024-12-13 00:00:00
3128-YOVTD,Female,29,Yes,No,Yes,Yes,2,United States,California,Forbestown,95941,39.531028,-121.24807,452,Q3,Yes,6,,Yes,2.53,No,Yes,Fiber Optic,71,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.15,3,Stayed,No,64,6321,,,2025-03-13,2020-12-13 00:00:00
7041-TXQJH,Female,64,No,No,No,No,0,United States,California,Goodyears Bar,95944,39.564113,-120.868836,76,Q3,No,0,Offer C,No,0.0,No,Yes,Cable,6,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,40.2,5,Stayed,No,20,5924,,,2025-03-13,2022-02-13 00:00:00
5014-GSOUQ,Male,59,No,No,No,No,0,United States,California,Grass Valley,95945,39.194539,-120.988066,23990,Q3,No,0,Offer D,Yes,18.73,No,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.95,4,Stayed,No,63,2884,,,2025-03-13,2024-02-13 00:00:00
5724-BIDBU,Male,29,Yes,No,Yes,No,0,United States,California,Penn Valley,95946,39.203817,-121.19584,9752,Q3,Yes,3,,Yes,42.19,Yes,Yes,Cable,52,Yes,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,55.35,3,Stayed,No,26,5601,,,2025-03-13,2021-02-13 00:00:00
1769-GRUIK,Female,19,Yes,No,No,No,0,United States,California,Gridley,95948,39.346898,-121.759537,9763,Q3,No,0,Offer D,Yes,2.76,No,Yes,Fiber Optic,26,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,71.1,5,Stayed,No,28,4911,,,2025-03-13,2023-09-13 00:00:00
8819-WFGGJ,Male,42,No,No,Yes,No,0,United States,California,Grimes,95950,39.033058,-121.895718,531,Q3,Yes,7,Offer A,No,0.0,No,Yes,Cable,16,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,54.1,3,Stayed,No,30,4601,,,2025-03-13,2019-07-13 00:00:00
7427-AUFPY,Male,27,Yes,No,No,No,0,United States,California,Hamilton City,95951,39.732767,-122.042298,1931,Q3,No,0,,Yes,25.72,No,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.65,5,Stayed,No,70,5708,,,2025-03-13,2020-09-13 00:00:00
7898-PDWQE,Male,22,Yes,No,Yes,No,0,United States,California,Maxwell,95955,39.281194,-122.226568,1146,Q3,Yes,2,Offer A,Yes,18.04,Yes,Yes,DSL,41,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,80.4,3,Stayed,No,20,5228,,,2025-03-13,2019-04-13 00:00:00
9972-EWRJS,Female,56,No,No,Yes,Yes,1,United States,California,Meadow Valley,95956,39.937017,-121.058043,301,Q3,Yes,2,Offer A,Yes,48.75,No,No,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,19.25,4,Stayed,No,61,5154,,,2025-03-13,2019-08-13 00:00:00
9314-IJWSQ,Female,46,No,No,Yes,Yes,3,United States,California,Meridian,95957,39.068071,-121.832638,776,Q3,Yes,1,Offer D,Yes,26.58,Yes,Yes,Fiber Optic,53,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.8,3,Stayed,No,80,2452,,,2025-03-13,2024-01-13 00:00:00
5799-JRCZO,Female,48,No,No,No,Yes,1,United States,California,North San Juan,95960,39.423046,-120.984472,565,Q3,No,0,,Yes,24.32,No,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.5,5,Stayed,No,44,4370,,,2025-03-13,2019-12-13 00:00:00
1921-KYSAY,Female,36,No,No,No,No,0,United States,California,Olivehurst,95961,39.082568,-121.55325,6439,Q3,No,0,,Yes,36.93,Yes,Yes,DSL,30,No,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,68.6,4,Stayed,No,34,4572,,,2025-03-13,2021-10-13 00:00:00
6198-RTPMF,Female,46,No,No,Yes,No,0,United States,California,Oregon House,95962,39.342587,-121.249833,1519,Q3,Yes,10,Offer D,Yes,9.22,Yes,Yes,Fiber Optic,13,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,92.6,4,Stayed,No,32,4756,,,2025-03-13,2023-10-13 00:00:00
2924-KHUVI,Male,28,Yes,No,Yes,No,0,United States,California,Orland,95963,39.748037,-122.302169,13706,Q3,Yes,7,,Yes,46.9,Yes,Yes,Fiber Optic,48,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,100.55,3,Stayed,No,61,4847,,,2025-03-13,2020-07-13 00:00:00
1925-GMVBW,Female,49,No,No,No,No,0,United States,California,Oroville,95965,39.624561,-121.552866,17782,Q3,No,0,,Yes,24.53,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.55,3,Stayed,No,23,5967,,,2025-03-13,2024-10-13 00:00:00
6184-DYUOB,Female,28,Yes,No,Yes,No,0,United States,California,Palermo,95968,39.435756,-121.552071,1254,Q3,Yes,5,,Yes,41.9,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.6,3,Joined,No,29,2941,,,2025-03-13,2024-12-13 00:00:00
9207-ZPANB,Male,42,No,No,No,No,0,United States,California,Paradise,95969,39.69676,-121.644379,28318,Q3,No,0,Offer C,Yes,13.04,Yes,Yes,DSL,14,Yes,Yes,Yes,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,67.45,3,Stayed,No,37,5042,,,2025-03-13,2022-02-13 00:00:00
9327-QSDED,Male,44,No,No,No,No,0,United States,California,Quincy,95971,39.971228,-121.041166,6189,Q3,No,0,,Yes,7.02,No,Yes,DSL,23,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,43.55,5,Stayed,No,60,3266,,,2025-03-13,2024-07-13 00:00:00
1656-DRSMG,Female,40,No,No,No,No,0,United States,California,Chico,95973,39.903272,-121.843567,26971,Q3,No,0,Offer B,Yes,19.01,Yes,Yes,Fiber Optic,20,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,109.85,5,Stayed,No,66,5775,,,2025-03-13,2019-12-13 00:00:00
3012-VFFMN,Female,61,No,No,Yes,Yes,1,United States,California,Richvale,95974,39.495768,-121.747472,74,Q3,Yes,7,,Yes,5.01,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.65,3,Stayed,No,74,4058,,,2025-03-13,2024-08-13 00:00:00
2984-AFWNC,Female,52,No,No,No,No,0,United States,California,Rough And Ready,95975,39.225634,-121.156163,1601,Q3,No,0,,Yes,17.01,No,Yes,Fiber Optic,28,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,95.4,3,Joined,No,70,2813,,,2025-03-13,2024-12-13 00:00:00
0640-YJTPY,Male,19,Yes,No,Yes,Yes,1,United States,California,Smartville,95977,39.176595,-121.291692,963,Q3,Yes,3,Offer A,Yes,5.7,No,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,21.0,5,Stayed,No,71,4974,,,2025-03-13,2019-03-13 00:00:00
8096-LOIST,Female,57,No,No,No,No,0,United States,California,Stirling City,95978,39.904002,-121.527823,28,Q3,No,0,Offer D,Yes,40.22,No,Yes,Cable,22,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,56.2,5,Stayed,No,38,3384,,,2025-03-13,2023-08-13 00:00:00
9764-REAFF,Female,60,No,No,Yes,No,0,United States,California,Stonyford,95979,39.288127,-122.415841,844,Q3,Yes,9,Offer B,Yes,26.99,No,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,18.4,4,Stayed,No,20,4375,,,2025-03-13,2020-04-13 00:00:00
7107-UBYKY,Female,62,No,No,Yes,Yes,1,United States,California,Sutter,95982,39.172777,-121.805845,3193,Q3,Yes,5,Offer C,Yes,24.76,Yes,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,25.75,5,Stayed,No,49,4194,,,2025-03-13,2022-04-13 00:00:00
4881-GQJTW,Male,64,No,No,No,No,0,United States,California,Taylorsville,95983,40.053684,-120.743116,513,Q3,No,0,Offer D,Yes,8.54,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.6,4,Stayed,No,40,2847,,,2025-03-13,2024-01-13 00:00:00
7876-DNYAP,Female,29,Yes,No,Yes,Yes,2,United States,California,Washington,95986,39.34128,-120.786867,145,Q3,Yes,7,Offer A,Yes,8.39,No,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.8,5,Stayed,No,36,5423,,,2025-03-13,2019-06-13 00:00:00
2882-WDTBA,Male,64,No,No,Yes,No,0,United States,California,Willows,95988,39.493991,-122.286363,8812,Q3,Yes,4,Offer A,Yes,44.33,No,Yes,Cable,18,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,75.75,4,Stayed,No,75,5839,,,2025-03-13,2019-06-13 00:00:00
2091-GPPIQ,Female,56,No,No,Yes,No,0,United States,California,Yuba City,95991,39.02741,-121.614982,34967,Q3,Yes,10,Offer A,Yes,26.04,Yes,Yes,Cable,6,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,78.95,5,Stayed,No,76,5050,,,2025-03-13,2019-03-13 00:00:00
5071-FBJFS,Female,61,No,No,Yes,Yes,1,United States,California,Redding,96001,40.587919,-122.464732,31586,Q3,Yes,8,,Yes,44.64,No,Yes,Cable,21,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.3,3,Stayed,No,73,3147,,,2025-03-13,2024-11-13 00:00:00
2796-UUZZO,Male,30,No,No,Yes,Yes,2,United States,California,Redding,96002,40.527834,-122.318749,30338,Q3,Yes,9,Offer B,Yes,18.88,No,Yes,Fiber Optic,48,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,80.3,4,Stayed,No,66,5157,,,2025-03-13,2019-12-13 00:00:00
2429-AYKKO,Male,52,No,No,No,No,0,United States,California,Redding,96003,40.677649,-122.29467,41476,Q3,No,0,Offer A,Yes,3.43,No,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.85,5,Stayed,No,22,4790,,,2025-03-13,2019-03-13 00:00:00
9798-OPFEM,Female,42,No,No,No,No,0,United States,California,Adin,96006,41.171578,-120.913161,615,Q3,No,0,Offer B,Yes,32.78,No,No,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,21.1,5,Stayed,No,37,4791,,,2025-03-13,2021-05-13 00:00:00
3794-NFNCH,Male,53,No,No,Yes,No,0,United States,California,Bella Vista,96008,40.722733,-122.109666,899,Q3,Yes,10,Offer C,Yes,23.16,No,Yes,DSL,6,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,50.0,4,Stayed,No,29,4715,,,2025-03-13,2022-09-13 00:00:00
5193-QLVZB,Male,52,No,No,No,No,0,United States,California,Bieber,96009,41.083464,-121.107929,595,Q3,No,0,Offer B,Yes,48.75,Yes,Yes,Fiber Optic,21,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,104.75,5,Stayed,No,30,5882,,,2025-03-13,2019-12-13 00:00:00
7114-AEOZE,Female,53,No,No,No,No,0,United States,California,Big Bar,96010,40.775272,-123.287414,269,Q3,No,0,Offer B,Yes,31.12,No,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.85,4,Stayed,No,58,6213,,,2025-03-13,2020-03-13 00:00:00
5522-NYKPB,Male,26,Yes,No,Yes,Yes,3,United States,California,Burney,96013,40.946785,-121.719489,4552,Q3,No,0,Offer C,Yes,11.79,No,Yes,Fiber Optic,59,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,85.9,3,Stayed,No,79,3153,,,2025-03-13,2023-02-13 00:00:00
6518-KZXCB,Male,61,No,No,No,No,0,United States,California,Cassel,96016,40.936285,-121.572692,344,Q3,No,0,Offer D,Yes,4.79,Yes,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.25,4,Stayed,No,61,3403,,,2025-03-13,2023-05-13 00:00:00
2245-ADZFJ,Female,58,No,No,Yes,No,0,United States,California,Castella,96017,41.121108,-122.336613,228,Q3,Yes,9,Offer C,Yes,28.52,Yes,Yes,DSL,2,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,80.55,4,Stayed,No,24,3491,,,2025-03-13,2022-08-13 00:00:00
7776-QGYJC,Female,64,No,No,Yes,Yes,5,United States,California,Shasta Lake,96019,40.692523,-122.369876,6277,Q3,Yes,7,Offer C,Yes,40.68,No,Yes,Fiber Optic,76,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.5,5,Stayed,No,25,2042,,,2025-03-13,2021-12-13 00:00:00
9313-QOLTZ,Male,31,No,No,No,No,0,United States,California,Chester,96020,40.243494,-121.154733,2664,Q3,No,0,Offer C,Yes,31.73,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.9,3,Stayed,No,51,5895,,,2025-03-13,2023-01-13 00:00:00
4672-FOTSD,Male,54,No,No,No,No,0,United States,California,Dorris,96023,41.949216,-122.050062,1162,Q3,No,0,Offer D,Yes,45.8,Yes,Yes,DSL,4,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,67.25,3,Stayed,No,56,4334,,,2025-03-13,2024-03-13 00:00:00
9818-XQCUV,Female,52,No,No,No,No,0,United States,California,Dunsmuir,96025,41.212695,-122.392067,2602,Q3,No,0,,Yes,25.92,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.35,3,Joined,No,61,5994,,,2025-03-13,2025-01-13 00:00:00
7338-ERIVA,Male,40,No,No,No,No,0,United States,California,Etna,96027,41.405193,-123.008567,2156,Q3,No,0,Offer C,No,0.0,No,Yes,DSL,13,Yes,No,No,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,45.05,3,Stayed,No,61,4003,,,2025-03-13,2021-12-13 00:00:00
8259-NFJTV,Female,37,No,No,Yes,Yes,1,United States,California,Flournoy,96029,39.84784,-122.544556,84,Q3,Yes,8,,No,0.0,No,Yes,Cable,17,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,34.65,3,Stayed,No,45,5996,,,2025-03-13,2024-08-13 00:00:00
